crop_id,crop_name,naive_pixel_count,naive_area_mu,naive_area_ha,unbiased_calibrated_mu,unbiased_calibrated_ha,se_analytic_mu,se_analytic_ha,cv_pct,ci_95_lower_mu,ci_95_upper_mu,ci_95_bootstrap_lower_mu,ci_95_bootstrap_upper_mu,bias_mu,bias_pct,users_accuracy,producers_accuracy,unbiased_guarantee
1,夏玉米,12830862,17321822.2,1154788.14,27278843.4,1818589.56,13618654.0,907910.26,49.92,586281.6,53971405.1,10659582.9,59585228.3,-9957021.2,-36.5,80.0% ± 13.3%,50.8% ± 25.3%,✓ 联合国手册第24章解析标准误与无偏估计
2,冬小麦,11673800,15759774.2,1050651.61,14183796.8,945586.45,1575977.4,105065.16,11.11,11094881.0,17272712.5,10506516.1,15759774.2,1575977.4,11.11,90.0% ± 10.0%,100.0% ± 0.0%,✓ 联合国手册第24章解析标准误与无偏估计
3,大豆,0,0.0,0.0,1732182.2,115478.81,1732182.2,115478.81,100.0,0.0,5127259.4,0.0,5773940.7,-1732182.2,-100.0,80.0% ± 13.3%,0.0% ± 0.0%,✓ 联合国手册第24章解析标准误与无偏估计
