parcel_id,crop_code,crop_name,province,agri_zone,area_tier,area_mu,area_ha,area_m2,perimeter_m,compactness,machinery_suitability,dominant_purity,mean_confidence,center_lon,center_lat,center_utm_x,center_utm_y
P0027,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),743.86,49.5905,495904.5,11362.3,0.048,中/碎 (建议并块平整),0.971,0.485,-100.8874105,21.3178309,304235.7,2358496.01
P0028,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),742.51,49.5005,495004.5,9627.4,0.067,中/碎 (建议并块平整),0.973,0.651,-101.1838464,22.0827913,274673.2,2443605.77
P0029,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),742.51,49.5005,495004.5,9123.0,0.075,中/碎 (建议并块平整),0.931,0.601,-101.4173096,21.3422282,249293.95,2361949.26
P0030,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),742.51,49.5005,495004.5,13817.3,0.033,中/碎 (建议并块平整),1.0,0.461,-101.1768045,22.0230955,275305.68,2436984.38
P0031,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),741.16,49.4105,494104.5,12294.9,0.041,中/碎 (建议并块平整),0.985,0.614,-99.7017475,21.6236587,427374.14,2391336.1
P0032,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),741.16,49.4105,494104.5,10956.7,0.052,中/碎 (建议并块平整),0.958,0.635,-100.4305201,23.3723741,353792.86,2585466.61
P0033,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),741.16,49.4105,494104.5,5954.6,0.175,中/碎 (建议并块平整),0.92,0.506,-99.2008109,22.1831591,479298.82,2453114.03
P0034,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),741.16,49.4105,494104.5,12805.4,0.038,中/碎 (建议并块平整),0.978,0.627,-99.7086681,22.7166237,427222.58,2512324.46
P0035,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),741.16,49.4105,494104.5,12905.0,0.037,中/碎 (建议并块平整),0.947,0.514,-101.5715952,22.57021,235568.97,2498222.1
P0036,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),741.16,49.4105,494104.5,4850.1,0.264,良 (基本适机),0.918,0.651,-101.6422432,22.1406544,227465.56,2450765.07
P0037,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),741.16,49.4105,494104.5,9618.4,0.067,中/碎 (建议并块平整),0.951,0.582,-101.3592308,22.9703582,258121.8,2542182.58
P0038,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),739.81,49.3205,493204.5,8677.4,0.082,中/碎 (建议并块平整),0.934,0.542,-99.0588762,22.2816405,493934.82,2464002.33
P0039,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),739.81,49.3205,493204.5,3337.1,0.557,优 (规整适机),0.996,0.46,-101.895455,21.3093068,199608.38,2359140.01
P0040,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),739.81,49.3205,493204.5,10443.3,0.057,中/碎 (建议并块平整),0.984,0.558,-101.7628367,22.4178027,215581.87,2481689.56
P0041,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),739.81,49.3205,493204.5,9506.7,0.069,中/碎 (建议并块平整),0.891,0.58,-99.7167071,22.7354506,426407.05,2514412.6
P0042,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),738.46,49.2305,492304.5,5250.5,0.224,中/碎 (建议并块平整),0.974,0.506,-100.6429277,21.0523437,329294.6,2328820.02
P0043,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),738.46,49.2305,492304.5,9523.4,0.068,中/碎 (建议并块平整),0.965,0.473,-101.850099,22.2799805,206304.45,2466588.44
P0044,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),737.11,49.1404,491404.5,9213.5,0.073,中/碎 (建议并块平整),0.963,0.443,-99.0447978,22.5777747,495394.9,2496781.48
P0045,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),737.11,49.1404,491404.5,11365.7,0.048,中/碎 (建议并块平整),0.94,0.585,-101.5136485,21.7001844,239936.21,2401752.42
P0046,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),735.76,49.0504,490504.5,9711.1,0.065,中/碎 (建议并块平整),0.916,0.666,-100.6136821,21.2914231,332603.22,2355256.9
P0047,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),735.76,49.0504,490504.5,8715.7,0.081,中/碎 (建议并块平整),0.972,0.469,-101.874429,23.0401869,205425.1,2550862.05
P0048,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),735.76,49.0504,490504.5,13567.2,0.033,中/碎 (建议并块平整),0.949,0.539,-100.3369435,22.829294,362807.54,2525243.96
P0049,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),734.41,48.9604,489604.5,9801.3,0.064,中/碎 (建议并块平整),0.978,0.483,-100.9822375,21.6480534,294860.77,2395181.67
P0050,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),734.41,48.9604,489604.5,11695.9,0.045,中/碎 (建议并块平整),0.54,0.542,-99.0565262,23.8680555,494244.81,2639619.72
P0051,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),734.41,48.9604,489604.5,6943.6,0.128,中/碎 (建议并块平整),0.912,0.718,-101.8095832,22.0794307,210070.3,2444292.39
P0052,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),733.06,48.8704,488704.5,5546.1,0.2,中/碎 (建议并块平整),0.919,0.551,-100.9473757,23.9244095,301789.02,2647224.01
P0053,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),733.06,48.8704,488704.5,6532.2,0.144,中/碎 (建议并块平整),0.967,0.439,-99.1074984,23.8947031,489057.34,2642572.94
P0054,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),733.06,48.8704,488704.5,9263.9,0.072,中/碎 (建议并块平整),0.683,0.6,-100.1039008,23.9886435,387706.53,2653409.05
P0055,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),733.06,48.8704,488704.5,9117.3,0.074,中/碎 (建议并块平整),0.985,0.639,-99.9541184,23.142161,402320.04,2559576.75
P0056,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),733.06,48.8704,488704.5,10327.2,0.058,中/碎 (建议并块平整),0.978,0.7,-101.5604651,22.1948552,236005.99,2456624.27
P0057,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),733.06,48.8704,488704.5,8763.0,0.08,中/碎 (建议并块平整),0.972,0.601,-100.7249888,23.179901,323437.12,2564481.38
P0058,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),731.71,48.7804,487804.5,8004.8,0.096,中/碎 (建议并块平整),0.98,0.5,-99.0196243,22.8913505,497987.27,2531492.51
P0059,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),731.71,48.7804,487804.5,8202.6,0.091,中/碎 (建议并块平整),0.961,0.536,-101.4757549,21.708563,243873.34,2402617.23
P0060,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),731.71,48.7804,487804.5,7414.4,0.112,中/碎 (建议并块平整),0.961,0.646,-101.1585651,21.8309324,276889.51,2415677.12
P0061,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),731.71,48.7804,487804.5,12713.6,0.038,中/碎 (建议并块平整),0.976,0.469,-101.5623138,22.2048939,235834.09,2457739.47
P0062,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),731.71,48.7804,487804.5,7264.9,0.116,中/碎 (建议并块平整),0.985,0.523,-101.0392356,22.907857,290843.45,2534768.86
P0063,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),731.71,48.7804,487804.5,7999.3,0.096,中/碎 (建议并块平整),0.976,0.468,-101.1344858,21.455769,278808.1,2374097.75
P0064,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),731.71,48.7804,487804.5,12673.3,0.038,中/碎 (建议并块平整),0.954,0.537,-99.5801812,22.4755203,440314.19,2485577.45
P0065,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),731.71,48.7804,487804.5,6581.2,0.142,中/碎 (建议并块平整),0.987,0.468,-100.8900165,22.2274533,305198.14,2459218.92
P0066,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),731.71,48.7804,487804.5,7301.3,0.115,中/碎 (建议并块平整),0.982,0.441,-101.6953337,21.1975555,220170.67,2346393.04
P0067,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),731.71,48.7804,487804.5,9037.6,0.075,中/碎 (建议并块平整),0.978,0.464,-101.6142967,21.7954561,229696.42,2412477.86
P0068,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),730.36,48.6904,486904.5,5757.8,0.185,中/碎 (建议并块平整),0.993,0.464,-100.6064031,21.0427066,333079.63,2327714.46
P0069,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),730.36,48.6904,486904.5,9346.3,0.07,中/碎 (建议并块平整),0.998,0.625,-101.8566343,22.7441418,206613.1,2518026.03
P0070,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),730.36,48.6904,486904.5,11024.5,0.05,中/碎 (建议并块平整),0.993,0.477,-100.9582013,21.8364921,297613.23,2416015.87
